title,author,rank
The Color Purple,Alice Walker,1
The Joy Luck Club,Amy Tan,1
Maus,Art Spiegelman,1
Atlas Shrugged,Ayn Rand,1
The Poisonwood Bible,Barbara Kingsolver,1
Billy Lynn’s Long Halftime Walk,Ben Fountain,1
Dracula,Bram Stoker,1
The Stone Diaries,Carol Shields,1
The Heart Is a Lonely Hunter,Carson McCullers,1
Great Expectations,Charles Dickens,1
Bleak House,Charles Dickens,1
Cold Mountain,Charles Frazier,1
Jane Eyre,Charlotte Bronte,1
The Road,Cormac McCarthy,1
Infinite Jest,David Foster Wallace,1
The Golden Notebook,Doris Lessing,1
Bastard Out of Carolina,Dorothy Allison,1
The Hitchhiker’s Guide to the Galaxy,Douglas Adams,1
Charlotte’s Web,E.B. White,1
Ragtime,E.L. Doctorow,1
Howards End,E.M. Forster,1
The Age of Innocence,Edith Wharton,1
Wuthering Heights,Emily Bronte,1
The Sun Also Rises,Ernest Hemingway,1
The Great Gatby,F. Scott Fitzgerald,1
Crime and Punishment,Fyodor Dostoevsky,1
The Brothers Karamazov,Fyodor Dostoevsky,1
One Hundred Years of Solitude,Gabriel Garcia Marquez,1
Love in the Time of Cholera,Gabriel Garcia Marquez,1
Middlemarch,George Eliot,1
The Leopard,Giuseppe Tomasi di Lampedusa,1
Madame Bovary,Gustave Flaubert,1
To Kill a Mockingbird,Harper Lee,1
The Wind-Up Bird Chronicle,Haruki Murakami,1
Tom Jones,Henry Fielding,1
Mby-Dick,Herman Melville,1
The Glass Bead Game,Hermann Hesse,1
Bring Up the Bodies,Hilary Mantel,1
If on a Winter’s Night a Traveler,Italo Calvino,1
The Catcher in the Rye,J.D. Salinger,1
The Harry Potter series,J.K. Rowling,1
Disgrace,J.M. Coetzee,1
The Hobbit,J.R.R. Tolkien,1
Go Tell It on The Mountain,James Baldwin,1
Catch-22,James Heller,1
A Portrait of the Artist as a Young Man,James Joyce,1
Pride and Prejudice,Jane Austen,1
Middlesex,Jeffrey Eugenides,1
The World According to Garp,John Irving,1
A Confederacy of Dunces,John Kennedy Toole,1
The Spy Who Came in From the Cold,John le Carre,1
The Rabbit quartet,John Updike,1
The Corrections,Jonathan Franzen,1
Blindness,Jose Saramago,1
"Are You There God? It’s Me, Margaret",Judy Blume,1
The Remains of the Day,Kazuo Ishiguro,1
A Personal Matter,Kenzaburo Oe,1
Lonesome Dove,Larry McMurtry,1
Tristram Shandy,Laurence Sterne,1
Anna Karenina,Leo Tolstoy,1
War and Peace,Leo Tolstoy,1
A Wrinkle in Time,Madeleine L’Engle,1
Swann’s Way,Marcel Proust,1
The Handmaid’s Tale,Margaret Atwood,1
Gone With the Wind,Margaret Mitchell,1
Adventures of Huckleberry Finn,Mark Twain,1
Money,Martin Amis,1
Frankenstein,Mary Shelley,1
The Amazing Adventures of Kavalier & Clay,Michael Chabon,1
A Home at the End of the World,Michael Cunningham,1
Snow,Orhan Pamuk,1
Ender’s Game,Orson Scott Card,1
The Children of Men,P.D. James,1
The Regeneration trilogy,Pat Barker,1
The Talented Mr. Ripley,Patricia Highsmith,1
His Dark Materials,Philip Pullman,1
Portnoy’s Complaint,Philip Roth,1
Invisible Man,Ralph Ellison,1
The Big Sleep,Raymond Chandler,1
Clockers,Richard Price,1
Native Son,Richard Wright,1
A Fine Balance,Rohinton Mistry,1
Midnight’s Children,Salman Rushdie,1
Herzog,Saul Bellow,1
The Stand,Stephen King,1
An American Tragedy,Theodore Dreiser,1
The Bonfire of the Vanities,Tom Wolfe,1
Beloved,Toni Morrison,1
Song of Solomon,Toni Morrison,1
A House for Mr. Biswas,V.S. Naipaul,1
A Suitable Boy,Vikram Seth,1
Mrs. Dalloway,Virginia Woolf,1
Lolita,Vladimir Nabokov,1
The Moonstone,Wilkie Collins,1
My Antonia,Willa Cather,1
The Sound and the Fury,William Faulkner,1
Neuromancer,William Gibson,1
Sophie’s Choice,William Styron,1
White Teeth,Zadie Smith,1
Their Eyes Were Watching God,Zora Neale Hurston,1